com.samsung.shealth.step_daily_trend,6212007,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
80693754-cc6a-4e8e-87c8-fe53827f7ff2.binning_data.json,2020-01-11 02:39:30.671,2020-01-10 11:12:50.486,com.sec.android.app.shealth,-2,4586,1.3618711,3480.07,187.62999,VfS0qUERdZ,com.sec.android.app.shealth,80693754-cc6a-4e8e-87c8-fe53827f7ff2,1578614400000,
9b15bff8-7112-4b9c-af02-0d12f6f6fe21.binning_data.json,2020-01-21 05:00:01.352,2020-01-21 05:00:01.352,com.sec.android.app.shealth,0,3145,1.6944444,2406.51,128.83,im26HRLwRA,com.sec.android.app.shealth,9b15bff8-7112-4b9c-af02-0d12f6f6fe21,1579478400000,
1f96459a-ff31-41b3-a9a7-b7490e998686.binning_data.json,2020-01-19 05:03:00.631,2020-01-19 05:00:04.628,com.sec.android.app.shealth,0,3318,1.6388887,2485.76,136.84999,im26HRLwRA,com.sec.android.app.shealth,1f96459a-ff31-41b3-a9a7-b7490e998686,1579305600000,
3e0aefa3-940d-46b9-9a0d-2de5e8ca7314.binning_data.json,2020-01-11 05:00:02.195,2020-01-11 05:00:02.195,com.sec.android.app.shealth,0,4586,2.0000002,3480.07,187.62999,im26HRLwRA,com.sec.android.app.shealth,3e0aefa3-940d-46b9-9a0d-2de5e8ca7314,1578614400000,
2b8d90f8-d3d4-4e69-8505-e06e09e07a4a.binning_data.json,2020-01-18 03:41:17.612,2020-01-17 11:12:11.171,com.sec.android.app.shealth,-2,3408,1.4089292,2603.83,140.84999,VfS0qUERdZ,com.sec.android.app.shealth,2b8d90f8-d3d4-4e69-8505-e06e09e07a4a,1579219200000,
6531397f-5240-4323-9157-962d7abbc52f.binning_data.json,2020-01-20 05:00:02.433,2020-01-18 06:00:24.863,com.sec.android.app.shealth,-2,3318,1.2840015,2485.76,136.84999,VfS0qUERdZ,com.sec.android.app.shealth,6531397f-5240-4323-9157-962d7abbc52f,1579305600000,
036e2a3c-c49a-4d0e-bdf2-8323e56eeb79.binning_data.json,2020-01-24 05:00:01.702,2020-01-24 05:00:01.702,com.sec.android.app.shealth,0,2222,1.6388887,1696.73,90.74,im26HRLwRA,com.sec.android.app.shealth,036e2a3c-c49a-4d0e-bdf2-8323e56eeb79,1579737600000,
940d3965-98e6-4a81-bba4-8980240be852.binning_data.json,2020-01-14 03:09:37.057,2020-01-13 09:38:18.930,com.sec.android.app.shealth,-2,4172,1.3804854,3172.17,171.73,VfS0qUERdZ,com.sec.android.app.shealth,940d3965-98e6-4a81-bba4-8980240be852,1578873600000,
551297ca-8b00-487f-a982-81a9cc488a71.binning_data.json,2020-01-22 02:43:11.040,2020-01-21 10:14:09.300,com.sec.android.app.shealth,-2,2435,1.4359539,1868.14,99.85,VfS0qUERdZ,com.sec.android.app.shealth,551297ca-8b00-487f-a982-81a9cc488a71,1579564800000,
46e2704c-e258-405c-9fe9-c2e2c13c00a7.binning_data.json,2020-01-22 05:00:01.672,2020-01-22 05:00:01.672,com.sec.android.app.shealth,0,2435,1.6796669,1868.14,99.85,im26HRLwRA,com.sec.android.app.shealth,46e2704c-e258-405c-9fe9-c2e2c13c00a7,1579564800000,
1d025338-b5c6-4483-8b07-26aa3c8ec964.binning_data.json,2020-01-21 01:41:11.160,2020-01-20 09:49:55.726,com.sec.android.app.shealth,-2,3145,1.4185643,2406.51,128.83,VfS0qUERdZ,com.sec.android.app.shealth,1d025338-b5c6-4483-8b07-26aa3c8ec964,1579478400000,
ab3a31b3-e106-4808-a118-83f05a6240b0.binning_data.json,2020-01-14 05:00:01.062,2020-01-14 05:00:01.062,com.sec.android.app.shealth,0,4172,1.9518869,3172.17,171.73,im26HRLwRA,com.sec.android.app.shealth,ab3a31b3-e106-4808-a118-83f05a6240b0,1578873600000,
8e506ca4-ca17-4073-9d40-d605c95fde33.binning_data.json,2020-01-27 05:00:01.328,2020-01-27 05:00:01.328,com.sec.android.app.shealth,0,4613,2.1239038,3508.07,188.06,im26HRLwRA,com.sec.android.app.shealth,8e506ca4-ca17-4073-9d40-d605c95fde33,1579996800000,
f8c1c718-795a-4162-af56-ad2d46de3f9b.binning_data.json,2020-01-17 02:01:15.897,2020-01-16 10:27:19.757,com.sec.android.app.shealth,-2,3466,1.4517499,2661.19,141.70999,VfS0qUERdZ,com.sec.android.app.shealth,f8c1c718-795a-4162-af56-ad2d46de3f9b,1579132800000,
dccb6228-e744-48ea-8d70-1287105a2a3c.binning_data.json,2020-01-25 03:44:02.369,2020-01-24 10:16:58.715,com.sec.android.app.shealth,-2,2491,1.3922113,1900.28,101.52,VfS0qUERdZ,com.sec.android.app.shealth,dccb6228-e744-48ea-8d70-1287105a2a3c,1579824000000,
3dc482b5-62aa-480e-9ee6-8ec9182c0c33.binning_data.json,2020-01-25 05:00:00.851,2020-01-25 05:00:00.851,com.sec.android.app.shealth,0,2491,1.6944444,1900.28,101.52,im26HRLwRA,com.sec.android.app.shealth,3dc482b5-62aa-480e-9ee6-8ec9182c0c33,1579824000000,
ed264b1a-2425-4921-ad44-0b8b1ca423a7.binning_data.json,2020-01-17 05:00:02.575,2020-01-17 05:00:02.575,com.sec.android.app.shealth,0,3466,1.6986667,2661.19,141.70999,im26HRLwRA,com.sec.android.app.shealth,ed264b1a-2425-4921-ad44-0b8b1ca423a7,1579132800000,
