com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
2283,1511228,,0,2020-02-16 04:41:01.040,2020-02-15 05:00:01.299,60,60000,41,1699.7994,95.27999,15fcd793-f8a6-450f-b432-3e2adeb830d8.extra_data.json,im26HRLwRA,1200,com.sec.android.app.shealth,1510028,34740000,15fcd793-f8a6-450f-b432-3e2adeb830d8,1581724800000,
2850,1862084,,0,2020-02-14 02:08:53.966,2020-02-13 05:00:00.440,60,60000,51,2187.08,116.179985,67e9a2b6-1817-4bf7-b439-76e3d384eca0.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1862084,20340000,67e9a2b6-1817-4bf7-b439-76e3d384eca0,1581552000000,
4482,2918073,,0,2020-02-27 05:00:00.714,2020-02-26 05:00:01.267,60,120000,80,3443.6902,184.50998,b886f503-ba72-4a6d-b6ea-a82497072a6e.extra_data.json,im26HRLwRA,10800,com.sec.android.app.shealth,2907273,21900000,b886f503-ba72-4a6d-b6ea-a82497072a6e,1582675200000,
822,548274,,0,2020-03-02 03:15:06.875,2020-03-01 05:00:00.991,60,36685,15,613.26996,35.13,e8597463-2bac-4278-aa73-a6915e97cbe6.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,548274,29340000,e8597463-2bac-4278-aa73-a6915e97cbe6,1583020800000,
0,0,,0,2019-12-11 21:51:20.772,2019-12-11 21:51:20.772,-1,0,0,0.0,0.0,c19e23ac-2005-44e2-80a9-b86789dfc30a.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,c19e23ac-2005-44e2-80a9-b86789dfc30a,1575590400000,
4947,3220036,,0,2020-02-22 05:41:13.742,2020-02-21 05:00:00.482,60,120000,88,3774.6106,202.23996,212898bc-617f-417b-80a9-39da8e55299a.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,3220036,21180000,212898bc-617f-417b-80a9-39da8e55299a,1582243200000,
4480,2939718,,0,2019-12-31 03:16:22.323,2019-12-30 05:37:26.649,60,60000,80,3399.3809,156.05,78cac054-08aa-4df6-a079-51fd4c1b62ac.extra_data.json,im26HRLwRA,2400,com.sec.android.app.shealth,2937318,16980000,78cac054-08aa-4df6-a079-51fd4c1b62ac,1577664000000,
4120,2727562,,0,2020-03-08 05:00:00.893,2020-03-07 05:00:01.014,60,60000,75,3118.7405,174.92003,4683600e-aa72-499f-b0e6-0644974ce70c.extra_data.json,im26HRLwRA,15600,com.sec.android.app.shealth,2711962,30060000,4683600e-aa72-499f-b0e6-0644974ce70c,1583539200000,
4278,2823023,,0,2020-02-28 05:00:00.655,2020-02-27 05:00:00.495,60,60000,78,3222.3594,177.31,d6349443-0e78-4aaf-b9d8-91c46bea50bd.extra_data.json,im26HRLwRA,2400,com.sec.android.app.shealth,2820623,22200000,d6349443-0e78-4aaf-b9d8-91c46bea50bd,1582761600000,
4701,2969094,,0,2020-02-20 05:00:02.309,2020-02-19 05:00:00.466,60,240000,81,3610.0596,191.23993,7ea1005d-afca-426f-84b9-c7b2233dc83b.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2969094,19560000,7ea1005d-afca-426f-84b9-c7b2233dc83b,1582070400000,
