com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
60000,4,0,124,2022-05-05 11:22:00.000,,,2022-05-05 11:23:40.914,2022-05-05 11:23:40.914,124,1.6306666,97.84,4.96,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:23:00.000,5a678f0e-24f6-4df7-9133-22cd75da82fa,
20240,4,0,34,2022-05-05 16:01:00.000,,,2022-05-05 16:15:02.334,2022-05-05 16:15:02.334,34,1.25,25.3,1.39,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:02:00.000,cabe0d78-8557-4d48-88d4-b26aa2696e57,
10440,4,0,20,2022-05-05 11:30:00.000,,,2022-05-05 11:35:02.012,2022-05-05 11:35:02.012,20,1.4722222,15.37,0.83,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:31:00.000,5c995f97-8d55-4cfb-89a5-5d4030789400,
51472,4,0,86,2022-05-05 16:08:00.000,,,2022-05-05 16:15:11.938,2022-05-05 16:15:11.938,93,1.3611112,70.06,3.76,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:09:00.000,fabb68bd-664b-4c9f-a570-583ee6d9306b,
13996,4,0,25,2022-05-05 11:43:00.000,,,2022-05-05 11:43:54.949,2022-05-05 11:43:39.098,25,1.3474833,18.86,1.04,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:44:00.000,d5806eac-eada-453e-aea7-3bbd55cae081,
45070,4,0,83,2022-05-05 23:18:00.000,,,2022-05-05 23:23:07.874,2022-05-05 23:23:07.874,83,1.4166666,63.85,3.32,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 23:19:00.000,1a5098dd-6fa5-4429-bb8e-aade588c9fa2,
19312,4,0,32,2022-05-05 15:15:00.000,,,2022-05-05 15:35:02.283,2022-05-05 15:35:02.283,36,1.4166666,27.36,1.51,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 15:16:00.000,ffe01155-0cec-43af-b140-548762cb28ab,
16445,4,0,28,2022-05-06 02:49:00.000,,,2022-05-06 02:49:52.199,2022-05-06 02:49:42.876,28,1.2751153,20.97,1.1600001,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-06 02:50:00.000,5d4afe80-9017-486a-867f-5900ed559a79,
9788,4,0,14,2022-05-05 16:03:00.000,,,2022-05-05 16:15:02.375,2022-05-05 16:15:02.375,14,1.0277778,10.06,0.67,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:04:00.000,6056ecc4-8020-44ba-a6ef-d13463a785f4,
57758,4,0,104,2022-05-05 16:09:00.000,,,2022-05-05 16:15:11.973,2022-05-05 16:15:11.973,105,1.3888888,80.22,4.28,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:10:00.000,2af5e961-9638-4310-ab04-c90e8f9de2b9,
